message_id,timestamp,user_message,source
independent_001,2026-06-05 09:00:00,Ich suche Übungen fürs Handgelenk nach viel Tippen,slack
independent_002,2026-06-05 09:04:00,Gibt es was gegen steife Handgelenke im Büro?,slack
independent_003,2026-06-05 09:08:00,Bitte kurze Handgelenk Mobility ohne Geräte,slack
independent_004,2026-06-05 09:12:00,Könnt ihr Handgelenk Übungen für Mausarm ergänzen?,slack
independent_005,2026-06-05 09:16:00,Ich brauche einfache Wrist Stretches für zwischendurch,slack
independent_006,2026-06-05 09:20:00,Mehr Atemübungen für abends wären super,slack
independent_007,2026-06-05 09:24:00,Gibt es breathing drills gegen Stress?,slack
independent_008,2026-06-05 09:28:00,Bitte ruhige Atmung als kurze Einheit,slack
independent_009,2026-06-05 09:32:00,Ich hätte gern Atemtraining ohne Equipment,slack
independent_010,2026-06-05 09:36:00,Könnt ihr eine entspannte Breathing Routine ergänzen?,slack
independent_011,2026-06-05 09:40:00,Ich will Übungen für Migräne Nacken Spannung,slack
independent_012,2026-06-05 09:44:00,Gibt es Nackenübungen wenn der Kopf drückt?,slack
independent_013,2026-06-05 09:48:00,Bitte was für verspannte Schultern am Schreibtisch,slack
independent_014,2026-06-05 09:52:00,Ich suche Rückenübungen morgens im Bett,slack
independent_015,2026-06-05 09:56:00,Knieübungen ohne Geräte wären gut,slack
independent_016,2026-06-05 10:00:00,Ich brauche Knieübungen im Sitzen weil Stehen gerade nervt,slack
independent_017,2026-06-05 10:04:00,Mehr Übungen für Sprunggelenk nach Umknicken bitte,slack
independent_018,2026-06-05 10:08:00,Hüfte mit Miniband finde ich hilfreich gibt es mehr davon?,slack
independent_019,2026-06-05 10:12:00,Das Schultervideo ist super erklärt danke,slack
independent_020,2026-06-05 10:16:00,Die kurzen Videos motivieren mich richtig,slack
independent_021,2026-06-05 10:20:00,Video lädt nicht und bleibt schwarz,slack
independent_022,2026-06-05 10:24:00,Der Login spinnt seit heute Morgen,slack
independent_023,2026-06-05 10:28:00,Beim Rückenprogramm fehlt bei mir der Ton,slack
independent_024,2026-06-05 10:32:00,Mir wird bei der Übung schwindelig,slack
independent_025,2026-06-05 10:36:00,Nach meiner OP bin ich unsicher ob ich das machen darf,slack
independent_026,2026-06-05 10:40:00,Die Übung macht meine Schmerzen schlimmer,slack
independent_027,2026-06-05 10:44:00,Das ist als Anfänger markiert fühlt sich aber advanced an,slack
independent_028,2026-06-05 10:48:00,Beim Theraband Video passen die Tags nicht,slack
independent_029,2026-06-05 10:52:00,Warum ist diese Übung unter Rücken wenn es Schulter ist?,slack
independent_030,2026-06-05 10:56:00,Ich will Bauchübungen ohne Crunches,slack
independent_031,2026-06-05 11:00:00,Gibt es Beckenboden Übungen für zuhause?,slack
independent_032,2026-06-05 11:04:00,Bitte Yoga Flow nach der Reha aber nicht zu esoterisch,slack
independent_033,2026-06-05 11:08:00,Ich suche Balance Übungen mit Stuhl,slack
independent_034,2026-06-05 11:12:00,Mehr Kraft für Rücken mit Theraband bitte,slack
independent_035,2026-06-05 11:16:00,Ich brauche etwas sehr Leichtes für ältere Leute im Sitzen,slack
