exercise_id,title,body_region,indication,therapy_goal,difficulty,equipment,position,description,tags,contraindication_note,review_status
ex_001,Seated Knee Mobility Demo,knee,early_stage_rehab,mobility,beginner,chair,sitting,Gentle seated movement designed for demo matching of beginner knee rehab content.,knee;mobility;beginner;chair;sitting,Demo content only. Requires professional review before real use.,approved
ex_002,Knee Stability Standing No Equipment,knee,home_training,stability,beginner,none,standing,Simple standing knee stability demo item for no-equipment home training matching.,knee;stability;beginner;none;home,Demo content only. Requires professional review before real use.,approved
ex_003,Knee Stability With Miniband,knee,strength_rebuild,stability,intermediate,miniband,standing,Miniband-based knee stability demo item for similarity matching with equipment constraints.,knee;stability;intermediate;miniband,Demo content only. Requires professional review before real use.,approved
ex_004,Wall Supported Knee Control,knee,general_rehab,coordination,beginner,wall,standing,Wall-supported knee control demo content for early coordination matching.,knee;coordination;wall;beginner,Demo content only. Requires professional review before real use.,approved
ex_005,Mat Knee Strength Sequence,knee,strength_rebuild,strength,intermediate,mat,lying,Mat-based knee strength demo item for content operations matching.,knee;strength;mat;intermediate,Demo content only. Requires professional review before real use.,approved
ex_006,Post Op Knee Range Demo,knee,post_op_knee,mobility,beginner,towel,lying,Early-stage post-op knee mobility demo record with generic safety wording.,knee;post_op_knee;mobility;towel;beginner,Demo content only. Requires professional review before real use.,approved
ex_007,Advanced Knee Balance Reach,knee,balance_training,balance,advanced,none,standing,Advanced knee balance demo item for matching higher difficulty requests.,knee;balance;advanced;none,Demo content only. Requires professional review before real use.,approved
ex_008,Chair Assisted Knee Endurance,knee,home_training,endurance,intermediate,chair,standing,Chair-assisted knee endurance demo content for home training workflows.,knee;endurance;chair;intermediate,Demo content only. Requires professional review before real use.,approved
ex_009,Back Mobility Sitting Demo,back,low_back_pain,mobility,beginner,chair,sitting,Seated back mobility demo item for beginner low-back content matching.,back;mobility;sitting;chair;beginner,Demo content only. Requires professional review before real use.,approved
ex_010,Back Mobility Lying Demo,back,low_back_pain,mobility,beginner,mat,lying,Lying back mobility demo item similar to seated back mobility content.,back;mobility;lying;mat;beginner,Demo content only. Requires professional review before real use.,approved
ex_011,All Fours Back Coordination,back,posture_training,coordination,intermediate,mat,all_fours,All-fours back coordination demo item for posture-related matching.,back;coordination;all_fours;mat,Demo content only. Requires professional review before real use.,approved
ex_012,Standing Back Extension At Wall,back,posture_training,mobility,intermediate,wall,standing,Wall-based back mobility demo content for posture training contexts.,back;mobility;wall;standing,Demo content only. Requires professional review before real use.,approved
ex_013,Low Back Relaxation On Mat,back,low_back_pain,relaxation,beginner,mat,lying,Short low-back relaxation demo record for non-prescriptive content matching.,back;relaxation;mat;beginner,Demo content only. Requires professional review before real use.,approved
ex_014,Back Strength Rebuild With Theraband,back,strength_rebuild,strength,intermediate,theraband,standing,Theraband back strength demo item for equipment-specific matching.,back;strength;theraband;intermediate,Demo content only. Requires professional review before real use.,approved
ex_015,Advanced Back Stability Kneeling,back,strength_rebuild,stability,advanced,mat,kneeling,Advanced kneeling back stability demo record for difficulty matching.,back;stability;advanced;kneeling,Demo content only. Requires professional review before real use.,approved
ex_016,No Equipment Back Endurance Demo,back,home_training,endurance,intermediate,none,standing,No-equipment back endurance demo item for home-training search scenarios.,back;endurance;none;home,Demo content only. Requires professional review before real use.,approved
ex_017,Shoulder Mobility No Equipment,shoulder,mobility_limitation,mobility,beginner,none,standing,No-equipment shoulder mobility demo item for beginner request matching.,shoulder;mobility;none;beginner,Demo content only. Requires professional review before real use.,approved
ex_018,Shoulder Mobility With Theraband,shoulder,mobility_limitation,mobility,intermediate,theraband,standing,Theraband shoulder mobility demo item similar to no-equipment shoulder mobility.,shoulder;mobility;theraband;intermediate,Demo content only. Requires professional review before real use.,approved
ex_019,Seated Shoulder Relaxation,shoulder,general_rehab,relaxation,beginner,chair,sitting,Seated shoulder relaxation demo content for gentle feedback requests.,shoulder;relaxation;chair;sitting,Demo content only. Requires professional review before real use.,approved
ex_020,Post Op Shoulder Range Demo,shoulder,post_op_shoulder,mobility,beginner,towel,lying,Post-op shoulder range demo record for conservative matching only.,shoulder;post_op_shoulder;mobility;towel,Demo content only. Requires professional review before real use.,approved
ex_021,Shoulder Stability At Wall,shoulder,strength_rebuild,stability,intermediate,wall,standing,Wall-supported shoulder stability demo item for similarity matching.,shoulder;stability;wall;intermediate,Demo content only. Requires professional review before real use.,approved
