message_id,timestamp,user_message,source
gap_handstand_001,2026-06-04 09:00:00,Ich will Handstandübungen für zuhause,slack
gap_handstand_002,2026-06-04 09:04:00,Gibt es Handstand Progressions ohne Equipment?,slack
gap_handstand_003,2026-06-04 09:09:00,Bitte mehr Übungen um einen Handstand zu lernen,slack
gap_handstand_004,2026-06-04 09:15:00,Ich suche eine einfache Handstand Vorbereitung an der Wand,slack
gap_handstand_005,2026-06-04 09:21:00,Könnt ihr Handstandübungen für zuhause ergänzen?,slack
gap_handstand_006,2026-06-04 09:27:00,Ich brauche Handstand Vorübungen für Schultern und Körperspannung,slack
gap_handstand_007,2026-06-04 09:33:00,Hätte gern einen Plan für Handstand lernen ohne Geräte,slack
gap_control_001,2026-06-04 09:40:00,Gibt es was fürs Knie ohne Geräte?,slack
gap_control_002,2026-06-04 09:46:00,Das Schultervideo ist super erklärt,slack
gap_control_003,2026-06-04 09:52:00,Der Startbutton reagiert nicht,slack
