message_id,user_message
msg_001,"Die Knieübungen sind zu schwer. Ich hätte gern leichtere Varianten ohne Geräte."
msg_002,"Super erklärt, die Rückenübung war gut verständlich und angenehm."
msg_003,"Mir wird bei der Schulterübung schwindelig und ich fühle mich unsicher."
msg_004,"Bitte mehr Übungen im Sitzen für den unteren Rücken."
msg_005,"Die Videos sind zu lang und das nervt nach der Arbeit."
msg_006,"Ich brauche Übungen mit Theraband für die Schulter."
msg_007,"Nach meiner OP darf ich diese Bewegung vielleicht nicht machen."
msg_008,"Bei einer Übung steht Knie, aber sie fühlt sich eher wie Rücken an."
msg_009,"Ich finde die App gerade problematisch, der Startbutton reagiert nicht."
msg_010,"Mehr Balanceübungen ohne Geräte wären hilfreich."
msg_011,"Die Beschreibung ist unklar, ich weiß nicht, wie weit ich beugen soll."
msg_012,"Die Miniband-Übung ist gut, aber ich hätte gern eine leichtere Stufe."
msg_013,"Ich habe Schmerzen beim Ausfallschritt."
msg_014,"Könnt ihr Übungen auf dem Stuhl für Senioren ergänzen?"
msg_015,"Der Tag Anfänger passt nicht, die Übung ist eher fortgeschritten."
msg_016,"Alles verständlich, die kurze Anleitung gefällt mir."
msg_017,"Ich brauche etwas für die Hüfte, finde aber nur Knieübungen."
msg_018,"Die Übung ohne Geräte ist zu leicht, bitte eine schwerere Variante."
msg_019,"Keine Ahnung, irgendwas passt da nicht."
msg_020,"Bitte mehr Schulter-Mobilisation im Liegen."
