message_id,expected_labels,expected_safety_flag,expected_body_region,expected_equipment,expected_difficulty
msg_001,content_request,false,knee,none,beginner
msg_002,content_request,false,back,chair,intermediate
msg_003,content_request,false,shoulder,theraband,advanced
msg_004,content_request,false,hip,miniband,beginner
msg_005,content_request,false,ankle,wall,intermediate
msg_006,content_request,false,neck,mat,advanced
msg_007,content_request,false,general,towel,beginner
msg_008,content_request,false,knee,none,intermediate
msg_009,content_request,false,back,chair,advanced
msg_010,content_request,false,shoulder,theraband,beginner
msg_011,content_request,false,hip,miniband,intermediate
msg_012,content_request,false,ankle,wall,advanced
msg_013,content_request,false,neck,mat,beginner
msg_014,content_request,false,general,towel,intermediate
msg_015,content_request,false,knee,none,advanced
msg_016,content_request,false,back,chair,beginner
msg_017,content_request,false,shoulder,theraband,intermediate
msg_018,content_request,false,hip,miniband,advanced
msg_019,content_request,false,ankle,wall,beginner
msg_020,content_request,false,neck,mat,intermediate
msg_021,content_request,false,general,towel,advanced
msg_022,content_request,false,knee,none,beginner
msg_023,content_request,false,back,chair,intermediate
msg_024,content_request,false,shoulder,theraband,advanced
msg_025,content_request,false,hip,miniband,beginner
msg_026,content_request,false,ankle,wall,intermediate
msg_027,content_request,false,neck,mat,advanced
msg_028,content_request,false,general,towel,beginner
msg_029,content_request,false,knee,none,intermediate
msg_030,content_request,false,back,chair,advanced
msg_031,content_request,false,shoulder,theraband,beginner
msg_032,content_request,false,hip,miniband,intermediate
msg_033,content_request,false,ankle,wall,advanced
msg_034,content_request,false,neck,mat,beginner
msg_035,content_request,false,general,towel,intermediate
msg_036,content_request,false,knee,none,advanced
msg_037,content_request,false,back,chair,beginner
msg_038,content_request,false,shoulder,theraband,intermediate
msg_039,content_request,false,hip,miniband,advanced
msg_040,content_request,false,ankle,wall,beginner
msg_041,content_request,false,neck,mat,intermediate
msg_042,content_request,false,general,towel,advanced
msg_043,content_request,false,knee,none,beginner
msg_044,content_request,false,back,chair,intermediate
msg_045,content_request,false,shoulder,theraband,advanced
msg_046,criticism,false,knee,,beginner
msg_047,criticism,false,,,
msg_048,criticism,false,shoulder,,
msg_049,criticism,false,,,
msg_050,criticism,false,ankle,,
msg_051,criticism,false,,,
msg_052,criticism,false,general,,
msg_053,criticism,false,,,beginner
msg_054,criticism,false,back,,
msg_055,criticism,false,,,
msg_056,criticism,false,hip,,
msg_057,criticism,false,,,
msg_058,criticism,false,neck,,
msg_059,criticism,false,,,
msg_060,criticism,false,knee,,beginner
msg_061,criticism,false,,,
msg_062,criticism,false,shoulder,,
msg_063,criticism,false,,,
msg_064,criticism,false,ankle,,
msg_065,criticism,false,,,
msg_066,criticism,false,general,,
msg_067,criticism,false,,,beginner
msg_068,criticism,false,back,,
msg_069,criticism,false,,,
msg_070,criticism,false,hip,,
msg_071,criticism,false,,,
msg_072,criticism,false,neck,,
msg_073,criticism,false,,,
msg_074,criticism,false,knee,,beginner
msg_075,criticism,false,,,
msg_076,criticism,false,shoulder,,
msg_077,criticism,false,,,
msg_078,criticism,false,ankle,,
msg_079,criticism,false,,,
msg_080,criticism,false,general,,
msg_081,praise,false,knee,,
msg_082,praise,false,,,
msg_083,praise,false,,,
msg_084,praise,false,hip,,
msg_085,praise,false,,,
msg_086,praise,false,,,
msg_087,praise,false,general,,
msg_088,praise,false,,,
msg_089,praise,false,,,
msg_090,praise,false,shoulder,,
msg_091,praise,false,,,
msg_092,praise,false,,,
msg_093,praise,false,neck,,
msg_094,praise,false,,,
msg_095,praise,false,,,
msg_096,praise,false,back,,
msg_097,praise,false,,,
msg_098,praise,false,,,
msg_099,praise,false,ankle,,
msg_100,praise,false,,,
msg_101,praise,false,,,
msg_102,praise,false,knee,,
msg_103,praise,false,,,
msg_104,praise,false,,,
msg_105,praise,false,hip,,
msg_106,safety_signal,true,general,,
msg_107,safety_signal,true,general,,
msg_108,safety_signal,true,knee,,
msg_109,safety_signal,true,shoulder,,
msg_110,safety_signal,true,back,,
msg_111,safety_signal,true,general,,
msg_112,safety_signal,true,general,,
msg_113,safety_signal,true,knee,,
msg_114,safety_signal,true,shoulder,,
msg_115,safety_signal,true,back,,
msg_116,safety_signal,true,general,,
msg_117,safety_signal,true,general,,
msg_118,safety_signal,true,knee,,
msg_119,safety_signal,true,shoulder,,
msg_120,safety_signal,true,back,,
msg_121,safety_signal,true,general,,
msg_122,safety_signal,true,general,,
msg_123,safety_signal,true,knee,,
msg_124,safety_signal,true,shoulder,,
msg_125,safety_signal,true,back,,
msg_126,content_request;criticism,false,knee,none,beginner
msg_127,content_request;criticism,false,back,chair,intermediate
msg_128,content_request;criticism,false,shoulder,theraband,beginner
msg_129,content_request;criticism,false,hip,mat,intermediate
msg_130,content_request;criticism,false,ankle,none,beginner
msg_131,content_request;criticism,false,neck,chair,intermediate
msg_132,content_request;criticism,false,general,theraband,beginner
msg_133,content_request;criticism,false,knee,mat,intermediate
msg_134,content_request;criticism,false,back,none,beginner
msg_135,content_request;criticism,false,shoulder,chair,intermediate
msg_136,content_request;criticism,false,hip,theraband,beginner
msg_137,content_request;criticism,false,ankle,mat,intermediate
msg_138,content_request;criticism,false,neck,none,beginner
msg_139,content_request;criticism,false,general,chair,intermediate
msg_140,content_request;criticism,false,knee,theraband,beginner
msg_141,content_request;criticism,false,back,mat,intermediate
msg_142,content_request;criticism,false,shoulder,none,beginner
msg_143,content_request;criticism,false,hip,chair,intermediate
msg_144,content_request;criticism,false,ankle,theraband,beginner
msg_145,content_request;criticism,false,neck,mat,intermediate
msg_146,metadata_issue,false,back,chair,
msg_147,metadata_issue;content_request,false,,none,
msg_148,metadata_issue;content_request,false,,,beginner
msg_149,metadata_issue,false,hip,,
msg_150,metadata_issue;content_request,false,shoulder,none,
msg_151,metadata_issue;content_request,false,back,chair,
msg_152,metadata_issue,false,,none,
msg_153,metadata_issue;content_request,false,,,beginner
msg_154,metadata_issue;content_request,false,hip,,
msg_155,metadata_issue,false,shoulder,none,
msg_156,metadata_issue;content_request,false,back,chair,
msg_157,metadata_issue;content_request,false,,none,
msg_158,metadata_issue,false,,,beginner
msg_159,metadata_issue;content_request,false,hip,,
msg_160,metadata_issue;content_request,false,shoulder,none,
msg_161,bug_or_access_problem,false,,,
msg_162,bug_or_access_problem,false,,,
msg_163,bug_or_access_problem,false,,,
msg_164,bug_or_access_problem,false,,,
msg_165,bug_or_access_problem,false,,,
msg_166,bug_or_access_problem,false,,,
msg_167,bug_or_access_problem,false,,,
msg_168,bug_or_access_problem,false,,,
msg_169,bug_or_access_problem,false,,,
msg_170,bug_or_access_problem,false,,,
msg_171,unclear,false,,,
msg_172,unclear,false,,,
msg_173,unclear,false,,,
msg_174,unclear,false,,,
msg_175,unclear,false,,,
msg_176,unclear,false,,,
msg_177,unclear,false,,,
msg_178,other,false,,,
msg_179,other,false,,,
msg_180,other,false,,,
