message_id,expected_labels,expected_match_status,expected_final_action,expected_review_required,expected_gap_cluster
eval_001,content_request,existing_content,link_existing_content,false,
eval_002,content_request,existing_content,link_existing_content,false,
eval_003,content_request,existing_content,link_existing_content,false,
eval_004,content_request,existing_content,link_existing_content,false,
eval_005,content_request,possible_duplicate,aggregate_possible_duplicate,false,
eval_006,content_request,possible_duplicate,aggregate_possible_duplicate,false,
eval_007,content_request,track_only,aggregate_content_request,false,foot_arch
eval_008,content_request,track_only,aggregate_content_request,false,foot_arch
eval_009,content_request,track_only,aggregate_content_request,false,foot_arch
eval_010,content_request,track_only,aggregate_content_request,false,foot_arch
eval_011,content_request,track_only,aggregate_content_request,false,foot_arch
eval_012,content_request,track_only,aggregate_content_request,false,jaw_relaxation
eval_013,content_request,track_only,aggregate_content_request,false,jaw_relaxation
eval_014,content_request,track_only,aggregate_content_request,false,jaw_relaxation
eval_015,content_request,track_only,aggregate_content_request,false,jaw_relaxation
eval_016,content_request,track_only,aggregate_content_request,false,jaw_relaxation
eval_017,bug_or_access_problem,support_queue,route_to_support,false,
eval_018,bug_or_access_problem,support_queue,route_to_support,false,
eval_019,praise,log_only,aggregate_praise,false,
eval_020,praise,log_only,aggregate_praise,false,
eval_021,safety_signal,safety_review,route_to_safety_review,true,
eval_022,safety_signal,safety_review,route_to_safety_review,true,
eval_023,safety_signal,safety_review,route_to_safety_review,true,
eval_024,metadata_issue,metadata_issue,review_metadata,true,
eval_025,metadata_issue,metadata_issue,review_metadata,true,
